SCRIP,High Price,Low Price,EnaBle,Comment
HDFCBANK.NS,1625,1596.45,TRUE,Price at Weekly resistance if it Breaks or retracement will accumalate
CASTROLIND.NS,278.85,262.6,TRUE,Downside
MMTC.NS,120,101.9,FALSE,Upside
KELLTONTEC.NS,168,159.05,TRUE,Upside
^CNXIT,41073.65,40703.15,TRUE,-
^NSEI,24854.85,24210.8,TRUE,-
^NSEBANK,51515.55,50438.3,TRUE,-
GOLDBEES.NS,60.85,59.1,TRUE,-
BIOCON.NS,376.8,357,TRUE,Upside
AFFLE.NS,1488.55,1435.7,TRUE,Nearer 1W swing High 
IIFL.NS,458.95,447.3,TRUE,30 min  down started but 1D major not break downside find chance upside reversals
TATAMOTORS.NS,1120,1083.6,TRUE,Upside
IGL.NS,543.55,535.5,TRUE,Upside round pattern and trend line forming 
WIPRO.NS,528.55,493.3,TRUE,Upside 1D swing BO done waiting for good correction reversal
MANAPPURAM.NS,216.68,203.5,TRUE,2021 high touched not break/Sweep waith reversal and move up
IOC.NS,178.92,172,TRUE,13 july dividend down find right place to BUY
NCC.NS,343.8,329.3,TRUE,Upside
PFC.NS,541.35,421.5,TRUE,ATH swing break and body close
SAMMANCAP.NS,167.99,166.2,TRUE,Upside
ABCAPITAL.NS,225.7,211.3,TRUE,Upside Near to all time High 255
MAHABANK.NS,68.9,67.32,TRUE,-
ELECTCAST.NS,217.8,205.59,TRUE,-
TANLA.NS,972,953.5,TRUE,-
NTPC.NS,399.5,3897,TRUE,1D price close above ATH will consider or either HL swing sweep will enter
GAIL.NS,232.62,277.4,TRUE,1d  BO and candle closed ATH will enter into pull back
BANKBEES.NS,527.7,519,TRUE,-
PSUBANKADD.NS,73.3,72.14,TRUE,-
HDFCBANK.NS,1625,1596.45,TRUE,Price at Weekly resistance if it Breaks or retracement will accumalate
