Symbol,Support,Resistance
RELIANCE,1338.5,1440.5
TCS,2561.3,2688.6
HDFCBANK,869.1,929.2
ICICIBANK,1328.8,1410
INFY,1264.1,1431
ITC,302,334.25
LT,3720.1,4440
SBIN,988.3,1234.7
BHARTIARTL,1845.7,2057
KOTAKBANK,400,432.45
AXISBANK,1248,1418
ASIANPAINT,2174,2452.4
MARUTI,14058,15459
HCLTECH,1322.5,1408
SUNPHARMA,1693,1792
TITAN,4157,4378
ULTRACEMCO,11786,13110
NESTLEIND,1205,1334
BAJFINANCE,887,1046
WIPRO,187.5,219
ONGC,262.55,293
NTPC,333.7,388.5
POWERGRID,291.05,311.7
M_M,3117,3504
TMPV,335.6,394.05
TECHM,1290,1547.5
INDUSINDBK,911.95,968.85
ADANIENT,1848,2237
ADANIPORTS,1325,1584
COALINDIA,406,439.65
GRASIM,2675,2910
JSWSTEEL,1172,1284
HINDALCO,881,946
EICHERMOT,7063,8230
HEROMOTOCO,5375,5840
BRITANNIA,5680,6208
DIVISLAB,5890,6564.5
DRREDDY,1148,1327
CIPLA,1308,1353
BAJAJFINSV,1876,2074
APOLLOHOSP,6994,7870
BPCL,345.5,391.65
SHREECEM,24817,27020
TATASTEEL,182.55,216.45
UPL,613.7,770.9
SBILIFE,1933.5,2132
HDFCLIFE,688.9,744.9
ICICIPRULI,621,677.5
BAJAJ-AUTO,9072,10187
HINDUNILVR,2275.6,2479.6
