SCRIP,High Price,Low Price,EnaBle
IGL.NS,467,428.7,TRUE
ASIANPAINT.NS,2921,2786.1,TRUE
AMBUJACEM.NS,649,569.4,TRUE
ASTRAL.NS,2410,1878.6,TRUE
BEL.NS,290,221,TRUE
CUMMINSIND.NS,3980,3650,TRUE
DRREDDY.NS,6419.9,5520.55,TRUE
GODREJPROP.NS,2956.15,2626,TRUE
IDEA.NS,14.75,11.8,TRUE
INDHOTEL.NS,622.5,535.9,TRUE
ABBOTINDIA.NS,27216.5,23408.65,TRUE
ABCAPITAL.NS,243.7,208.35,TRUE
INDUSTOWER.NS,363.6,321.25,TRUE
RELIANCE.NS,2966.15,2768,TRUE
ABFRL.NS,320,244,TRUE
ZYDUSLIFE.NS,1110,925.4,TRUE
ACC.NS,2609.55,2331.55,TRUE
ADANIENT.NS,3400,2756,TRUE
ALKEM.NS,5520,4567.05,TRUE
APOLLOTYRE.NS,508.3,459,TRUE
ASHOKLEY.NS,216,190.05,TRUE
ATUL.NS,6313,5814.3,TRUE
AUROPHARMA.NS,1253,1145.35,TRUE
AXISBANK.NS,1184.7,1105.05,TRUE
BAJAJ-AUTO.NS,9258.6,8592.8,TRUE
BAJFINANCE.NS,7400,6585,TRUE
BALKRISIND.NS,2797.75,2402,FALSE
BALRAMCHIN.NS,409.5,367,TRUE
BANDHANBNK.NS,191.4,176.55,TRUE
BANKBARODA.NS,271.7,248.35,TRUE
BATAINDIA.NS,0,0,FALSE
BERGEPAINT.NS,499.4,478,TRUE
BHARATFORG.NS,1550,1209.15,TRUE
BHARTIARTL.NS,1400,1329.55,TRUE
BIOCON.NS,321.2,292.2,TRUE
BPCL.NS,653,590.05,TRUE
BRITANNIA.NS,5386,4971.75,TRUE
CHAMBLFERT.NS,412.75,382.6,TRUE
CHOLAFIN.NS,1352,1216.5,TRUE
CIPLA.NS,1519,1335,TRUE
COALINDIA.NS,512,490,TRUE
COROMANDEL.NS,1271.55,1170,TRUE
CROMPTON.NS,429,320.15,TRUE
ADANIPORTS.NS,1424.95,1240,TRUE
DABUR.NS,566.9,489.2,TRUE
DALBHARAT.NS,1850.5,1698,TRUE
DEEPAKNTR.NS,2619.8,2300,TRUE
DIVISLAB.NS,4100,3724,TRUE
DIXON.NS,9680,7932.55,TRUE
EICHERMOT.NS,4742,4528,FALSE
ESCORTS.NS,0,0,FALSE
AUBANK.NS,648.9,598.15,TRUE
EXIDEIND.NS,485.55,435,TRUE
BOSCHLTD.NS,32100,29160,TRUE
BSOFT.NS,693.75,589.9,TRUE
GLENMARK.NS,1098,985.2,TRUE
CANFINHOME.NS,792,716.15,TRUE
COLPAL.NS,2888.45,2585.65,TRUE
CONCOR.NS,1116.05,978.05,TRUE
GMRINFRA.NS,92.4,77.6,TRUE
GNFC.NS,728.25,631.25,TRUE
GODREJCP.NS,1372.95,1140.05,TRUE
GRANULES.NS,456.45,389.25,TRUE
GRASIM.NS,2489.75,2310.2,TRUE
HAL.NS,4920,3671,FALSE
GUJGASLTD.NS,567,519.25,TRUE
HDFCAMC.NS,3983.65,3528,TRUE
HEROMOTOCO.NS,5168.6,4414.6,TRUE
HINDPETRO.NS,540.9,475.35,TRUE
HINDUNILVR.NS,2389.6,2205.05,TRUE
ICICIBANK.NS,1169.55,1106.7,TRUE
ICICIGI.NS,1747,1611.5,TRUE
ICICIPRULI.NS,604.65,552.25,TRUE
IDFC.NS,128.7,110.75,TRUE
IDFCFIRSTB.NS,86.1,75.15,TRUE
IEX.NS,167.15,140.75,TRUE
IGL.NS,467,428.7,TRUE
INDIAMART.NS,0,0,FALSE
IOC.NS,0,0,FALSE
IPCALAB.NS,0,0,FALSE
INDUSINDBK.NS,0,0,FALSE
ITC.NS,0,0,FALSE
INFY.NS,0,0,FALSE
JINDALSTEL.NS,0,0,FALSE
JKCEMENT.NS,0,0,FALSE
IRCTC.NS,0,0,FALSE
JUBLFOOD.NS,0,0,FALSE
KOTAKBANK.NS,0,0,FALSE
LTF.NS,0,0,FALSE
LALPATHLAB.NS,0,0,FALSE
LAURUSLABS.NS,0,0,FALSE
LICHSGFIN.NS,0,0,FALSE
LTIM.NS,0,0,FALSE
LTTS.NS,0,0,FALSE
LUPIN.NS,0,0,FALSE
LT.NS,0,0,FALSE
M&M.NS,0,0,FALSE
MARICO.NS,0,0,FALSE
M&MFIN.NS,0,0,FALSE
MCDOWELL-N.NS,0,0,FALSE
MARUTI.NS,0,0,FALSE
MCX.NS,0,0,FALSE
METROPOLIS.NS,0,0,FALSE
MGL.NS,0,0,FALSE
MOTHERSON.NS,0,0,FALSE
MPHASIS.NS,0,0,FALSE
NATIONALUM.NS,0,0,FALSE
NAVINFLUOR.NS,0,0,FALSE
NTPC.NS,0,0,FALSE
MRF.NS,0,0,FALSE
ONGC.NS,0,0,FALSE
MUTHOOTFIN.NS,0,0,FALSE
PERSISTENT.NS,0,0,FALSE
PETRONET.NS,0,0,FALSE
PFC.NS,0,0,FALSE
NESTLEIND.NS,0,0,FALSE
PIDILITIND.NS,0,0,FALSE
HAVELLS.NS,0,0,FALSE
PEL.NS,0,0,FALSE
PIIND.NS,0,0,FALSE
PNB.NS,0,0,FALSE
POLYCAB.NS,0,0,FALSE
POWERGRID.NS,0,0,FALSE
RBLBANK.NS,0,0,FALSE
SAIL.NS,0,0,FALSE
SBILIFE.NS,0,0,FALSE
SBIN.NS,0,0,FALSE
SHREECEM.NS,0,0,FALSE
SHRIRAMFIN.NS,0,0,FALSE
RECLTD.NS,0,0,FALSE
SIEMENS.NS,0,0,FALSE
SRF.NS,0,0,FALSE
SUNTV.NS,0,0,FALSE
TATACHEM.NS,0,0,FALSE
TATACOMM.NS,0,0,FALSE
BHEL.NS,0,0,FALSE
TATACONSUM.NS,0,0,FALSE
SBICARD.NS,0,0,FALSE
TATAMOTORS.NS,0,0,FALSE
CANBK.NS,0,0,FALSE
COFORGE.NS,0,0,FALSE
CUB.NS,0,0,FALSE
TATASTEEL.NS,0,0,FALSE
TECHM.NS,0,0,FALSE
TITAN.NS,0,0,FALSE
TORNTPHARM.NS,0,0,FALSE
TRENT.NS,0,0,FALSE
SUNPHARMA.NS,0,0,FALSE
TVSMOTOR.NS,0,0,FALSE
UBL.NS,0,0,FALSE
ULTRACEMCO.NS,0,0,FALSE
UPL.NS,0,0,FALSE
TATAPOWER.NS,0,0,FALSE
VOLTAS.NS,0,0,FALSE
ZEEL.NS,0,0,FALSE
VEDL.NS,0,0,FALSE
ABB.NS,0,0,FALSE
HCLTECH.NS,0,0,FALSE
HINDALCO.NS,0,0,FALSE
DLF.NS,0,0,FALSE
HDFCLIFE.NS,0,0,FALSE
HINDCOPPER.NS,0,0,FALSE
INDIGO.NS,0,0,FALSE
MANAPPURAM.NS,0,0,FALSE
NAUKRI.NS,0,0,FALSE
FEDERALBNK.NS,0,0,FALSE
HDFCBANK.NS,0,0,FALSE
INDIACEM.NS,0,0,FALSE
BAJAJFINSV.NS,0,0,FALSE
MFSL.NS,0,0,FALSE
SYNGENE.NS,0,0,FALSE
OFSS.NS,0,0,FALSE
PAGEIND.NS,0,0,FALSE
RAMCOCEM.NS,0,0,FALSE
WIPRO.NS,0,0,FALSE
TCS.NS,0,0,FALSE
GAIL.NS,0,0,FALSE
NMDC.NS,0,0,FALSE
JSWSTEEL.NS,0,0,FALSE
OBEROIRLTY.NS,0,0,FALSE
PVRINOX.NS,0,0,FALSE
